idx,Major,Degree,NumSalariesReported,Avg,Max,Min,StDev,25th,Median,75th,Semester,Year,College
626,International Affairs,Master,6,61379.0,89000.0,40000.0,+/- 21632,45638.0,57138.0,87000.0,Spring,2017,College of Bush School of Gov & Pub Serv
627,Public Service &Administration,Master,9,61778.0,80000.0,41000.0,+/- 14175,51250.0,60000.0,78750.0,Spring,2017,College of Bush School of Gov & Pub Serv
628,Athletic Training,Master,4,45250.0,62000.0,24000.0,+/- 18751,35000.0,47500.0,62000.0,Spring,2017,College of Education & Human Development
629,Communication,Bachelor,1,65000.0,65000.0,65000.0,+/- 0,65000.0,65000.0,65000.0,Spring,2017,College of Education & Human Development
630,Community Health,Bachelor,2,43500.0,52000.0,35000.0,+/- 12021,43500.0,43500.0,52000.0,Spring,2017,College of Education & Human Development
631,Curriculum & Instruction,Doctorate,3,98000.0,140000.0,64000.0,+/- 38626,83500.0,90000.0,140000.0,Spring,2017,College of Education & Human Development
632,Curriculum & Instruction,Master,10,46200.0,55000.0,33000.0,+/- 7685,40500.0,49000.0,52500.0,Spring,2017,College of Education & Human Development
633,Edu Human Resource Development,Master,2,40000.0,40000.0,40000.0,+/- 0,40000.0,40000.0,40000.0,Spring,2017,College of Education & Human Development
634,Educational Administration,Master,9,47589.0,60000.0,34400.0,+/- 10060,40000.0,47000.0,57750.0,Spring,2017,College of Education & Human Development
635,Educational Psychology,Master,9,57778.0,105000.0,42000.0,+/- 18707,50000.0,53000.0,60250.0,Spring,2017,College of Education & Human Development
636,Educational Technology,Master,3,63333.0,87000.0,50000.0,+/- 20551,52250.0,53000.0,87000.0,Spring,2017,College of Education & Human Development
637,Health,Bachelor,16,39743.0,70000.0,24000.0,+/- 12687,30000.0,40000.0,51276.0,Spring,2017,College of Education & Human Development
638,Human Resource Development,Bachelor,17,41588.0,52000.0,28000.0,+/- 8645,35250.0,40000.0,50000.0,Spring,2017,College of Education & Human Development
639,Interdisciplinary Studies,Bachelor,59,48123.0,151000.0,22000.0,+/- 15218,41950.0,49200.0,51500.0,Spring,2017,College of Education & Human Development
640,Kinesiology,Bachelor,2,59000.0,67000.0,51000.0,+/- 11314,59000.0,59000.0,67000.0,Spring,2017,College of Education & Human Development
641,Special Education,Master,2,42500.0,43000.0,42000.0,+/- 707,42500.0,42500.0,43000.0,Spring,2017,College of Education & Human Development
642,Sport Management,Bachelor,13,50012.0,66000.0,22880.0,+/- 11794,45750.0,51276.0,60000.0,Spring,2017,College of Education & Human Development
643,Sport Management,Master,6,43883.0,85000.0,26500.0,+/- 21644,32900.0,35500.0,67500.0,Spring,2017,College of Education & Human Development
644,Technology Management,Bachelor,7,52000.0,62000.0,25000.0,+/- 13772,49750.0,60000.0,62000.0,Spring,2017,College of Education & Human Development
645,University Studies,Bachelor,9,43778.0,75000.0,22000.0,+/- 15714,36500.0,45000.0,51500.0,Spring,2017,College of Education & Human Development
646,Aerospace Engineering,Bachelor,21,64038.0,88000.0,51276.0,+/- 9017,60000.0,63000.0,69500.0,Spring,2017,College of Engineering
647,Biomedical Engineering,Bachelor,7,64000.0,67000.0,60000.0,+/- 2291,63375.0,63500.0,66250.0,Spring,2017,College of Engineering
648,Biomedical Engineering,Doctorate,2,72500.0,105000.0,40000.0,+/- 45962,72500.0,72500.0,105000.0,Spring,2017,College of Engineering
649,Chemical Engineering,Bachelor,34,74096.0,105000.0,43000.0,+/- 11681,70000.0,73000.0,80800.0,Spring,2017,College of Engineering
650,Chemical Engineering,Doctorate,2,73000.0,83000.0,63000.0,+/- 14142,73000.0,73000.0,83000.0,Spring,2017,College of Engineering
651,Civil Engineering,Bachelor,53,60577.0,93000.0,50000.0,+/- 8192,57000.0,59000.0,61875.0,Spring,2017,College of Engineering
652,Civil Engineering,Doctorate,2,59000.0,70000.0,48000.0,+/- 15556,59000.0,59000.0,70000.0,Spring,2017,College of Engineering
653,Civil Engineering,Master,10,64450.0,71500.0,60000.0,+/- 4017,62000.0,62500.0,69000.0,Spring,2017,College of Engineering
654,Computer Engineering - CECN,Bachelor,17,72734.0,100000.0,50000.0,+/- 13744,65500.0,70000.0,84250.0,Spring,2017,College of Engineering
655,Computer Engineering - CEEN,Bachelor,4,59250.0,67000.0,45000.0,+/- 9946,60000.0,62500.0,67000.0,Spring,2017,College of Engineering
656,Computer Engineering - CEEN,Doctorate,2,114000.0,118000.0,110000.0,+/- 5657,114000.0,114000.0,118000.0,Spring,2017,College of Engineering
657,Computer Engineering - CEEN,Master,9,100111.0,118000.0,85000.0,+/- 10902,91250.0,100000.0,108000.0,Spring,2017,College of Engineering
658,Computer Science,Bachelor,42,74758.0,108000.0,32000.0,+/- 19433,63750.0,69500.0,89250.0,Spring,2017,College of Engineering
659,Computer Science,Master,5,101600.0,115000.0,70000.0,+/- 18036,105750.0,108000.0,113750.0,Spring,2017,College of Engineering
660,Electrical Engineering,Bachelor,25,71766.0,99000.0,51276.0,+/- 11891,65000.0,70500.0,80000.0,Spring,2017,College of Engineering
661,Electrical Engineering,Doctorate,8,100688.0,164000.0,30000.0,+/- 39711,85500.0,108000.0,120000.0,Spring,2017,College of Engineering
662,Electrical Engineering,Master,3,118000.0,140000.0,106000.0,+/- 19079,107500.0,108000.0,140000.0,Spring,2017,College of Engineering
663,Electronic Sys Engr Technology,Bachelor,7,63645.0,70000.0,51276.0,+/- 7360,63250.0,67000.0,68681.5,Spring,2017,College of Engineering
664,Engineering Technology,Bachelor,12,59754.0,75000.0,35000.0,+/- 10382,58000.0,60250.0,67000.0,Spring,2017,College of Engineering
665,Industrial Distribution,Bachelor,37,57123.0,69000.0,45000.0,+/- 7904,50250.0,55000.0,64000.0,Spring,2017,College of Engineering
666,Industrial Distribution,Master,8,96250.0,150000.0,70000.0,+/- 25600,80000.0,90000.0,110000.0,Spring,2017,College of Engineering
667,Industrial Engineering,Bachelor,28,62331.0,82000.0,30000.0,+/- 10846,55000.0,63500.0,69000.0,Spring,2017,College of Engineering
668,Industrial Engineering,Master,4,85856.0,100000.0,74000.0,+/- 12240,77425.0,84712.5,100000.0,Spring,2017,College of Engineering
669,Mechanical Engineering,Bachelor,41,68624.0,99000.0,45000.0,+/- 8194,65000.0,70000.0,71375.0,Spring,2017,College of Engineering
