"College of Agriculture & Life Sciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Master","","2","$54,000.00","$55,000.00","$53,000.00","+/- 1414","$54,000.00","$54,000.00","$55,000.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Science","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Applied Mathematical Sciences","Bachelor","1","$42,500.00","$42,500.00","$42,500.00","+/- 0","$42,500.00","$42,500.00","$42,500.00"
"Biology","Bachelor","1","$51,276.00","$51,276.00","$51,276.00","+/- 0","$51,276.00","$51,276.00","$51,276.00"
"Chemistry","Doctorate","3","$71,667.00","$120,000.00","$45,000.00","+/- 41932","$48,750.00","$50,000.00","$120,000.00"
"Mathematics","Doctorate","3","$54,333.00","$64,000.00","$44,000.00","+/- 10017","$52,250.00","$55,000.00","$64,000.00"
"Mathematics","Master","2","$62,500.00","$78,000.00","$47,000.00","+/- 21920","$62,500.00","$62,500.00","$78,000.00"
"Statistics","Doctorate","2","$89,000.00","$113,000.00","$65,000.00","+/- 33941","$89,000.00","$89,000.00","$113,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","2","$46,888.00","$51,276.00","$42,500.00","+/- 6206","$46,888.00","$46,888.00","$51,276.00"
"Master","","2","$62,500.00","$78,000.00","$47,000.00","+/- 21920","$62,500.00","$62,500.00","$78,000.00"
"Doctorate","","8","$69,500.00","$120,000.00","$44,000.00","+/- 30081","$50,000.00","$59,500.00","$113,000.00"
"College of Veterinary Med & Biomedical Sc","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Biomedical Sciences","Bachelor","2","$31,500.00","$33,000.00","$30,000.00","+/- 2121","$31,500.00","$31,500.00","$33,000.00"
"University Studies","Bachelor","1","$65,000.00","$65,000.00","$65,000.00","+/- 0","$65,000.00","$65,000.00","$65,000.00"
"Veterinary Pathobiology","Doctorate","3","$42,000.00","$54,000.00","$36,000.00","+/- 10392","$36,000.00","$36,000.00","$54,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","3","$42,667.00","$65,000.00","$30,000.00","+/- 19399","$32,250.00","$33,000.00","$65,000.00"
"Master","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Doctorate","","3","$42,000.00","$54,000.00","$36,000.00","+/- 10392","$36,000.00","$36,000.00","$54,000.00"
