"College of Agriculture & Life Sciences","","","","","","","","",""
"Communication","Bachelor","54","$44,504.00","$70,000.00","$22,000.00","+/- 12437","$35,000.00","$40,700.00","$55,000.00"
"Economics","Bachelor","45","$48,548.00","$98,900.00","$25,000.00","+/- 15395","$40,000.00","$48,000.00","$55,000.00"
"Economics","Doctorate","3","$103,333.00","$120,000.00","$70,000.00","+/- 28868","$107,500.00","$120,000.00","$120,000.00"
"Economics","Master","3","$39,167.00","$55,000.00","$30,000.00","+/- 13769","$31,875.00","$32,500.00","$55,000.00"
"English","Bachelor","20","$46,239.00","$60,000.00","$33,000.00","+/- 8498","$40,000.00","$45,500.00","$52,000.00"
"History","Bachelor","16","$43,774.00","$51,276.00","$26,000.00","+/- 7580","$40,000.00","$43,500.00","$51,276.00"
"International Studies","Bachelor","24","$47,490.00","$60,000.00","$23,000.00","+/- 8257","$45,000.00","$51,138.00","$51,276.00"
"Philosophy","Bachelor","2","$42,500.00","$45,000.00","$40,000.00","+/- 3536","$42,500.00","$42,500.00","$45,000.00"
"Political Science","Bachelor","34","$47,274.00","$60,000.00","$22,000.00","+/- 8152","$45,000.00","$50,638.00","$51,276.00"
"Political Science","Doctorate","2","$69,000.00","$78,000.00","$60,000.00","+/- 12728","$69,000.00","$69,000.00","$78,000.00"
"Psychology","Bachelor","40","$43,926.00","$80,000.00","$24,000.00","+/- 13949","$31,000.00","$43,500.00","$52,000.00"
"Sociology","Bachelor","26","$43,312.00","$85,000.00","$24,000.00","+/- 13351","$34,000.00","$43,750.00","$51,276.00"
"Spanish","Bachelor","3","$42,000.00","$53,000.00","$25,000.00","+/- 14933","$42,250.00","$48,000.00","$53,000.00"
"Telecommunication MediaStudies","Bachelor","9","$43,889.00","$80,000.00","$22,000.00","+/- 18818","$31,250.00","$36,000.00","$60,000.00"
"University Studies","Bachelor","3","$31,667.00","$33,000.00","$30,000.00","+/- 1528","$31,500.00","$32,000.00","$33,000.00"
"Women's and Gender Studies","Bachelor","1","$50,000.00","$50,000.00","$50,000.00","+/- 0","$50,000.00","$50,000.00","$50,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","282","$45,275.00","$98,900.00","$22,000.00","+/- 12303","$36,000.00","$45,000.00","$51,276.00"
"Master","","3","$39,167.00","$55,000.00","$30,000.00","+/- 13769","$31,875.00","$32,500.00","$55,000.00"
"Doctorate","","5","$89,600.00","$120,000.00","$60,000.00","+/- 28475","$72,000.00","$78,000.00","$120,000.00"
"College of Mays Business School","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Accounting","Bachelor","11","$48,616.00","$64,000.00","$24,000.00","+/- 12356","$40,000.00","$51,276.00","$60,500.00"
"Accounting","Master","7","$59,071.00","$75,000.00","$55,500.00","+/- 7208","$55,500.00","$56,000.00","$63,750.00"
"Accounting-PPA","Master","78","$55,925.00","$70,000.00","$50,000.00","+/- 2837","$55,500.00","$55,500.00","$55,500.00"
